moth,wb,trial,lax_count,lba_count,lsa_count,ldvm_count,ldlm_count,rdlm_count,rdvm_count,rsa_count,rba_count,rax_count,lax1,lba1,lsa1,ldvm1,ldlm1,rdlm1,rdvm1,rsa1,rba1,rax1
2024_11_01,2040,1,1,1,1,1,1,1,1,1,2,3,0.3662650602409638,0.2409638554216867,0.2313253012048192,0.2385542168674699,0.2506024096385542,0.2506024096385542,-0.2337362969156447,0.7927710843373494,-0.4867498141954663,0.2626506024096385
2024_11_01,2043,1,2,1,1,1,1,1,1,1,1,1,0.2366589327146171,0.259860788863109,0.2645011600928074,0.259860788863109,0.2737819025522042,0.2761020881670533,-0.2158067158067157,0.7795823665893271,0.3573085846867749,0.3573085846867749
2024_11_01,2044,1,2,1,1,1,1,1,1,1,1,1,0.3539603960396039,0.2227722772277227,0.2277227722772277,0.2252475247524752,0.245049504950495,0.2524752475247525,-0.2648105181747873,0.7846534653465347,0.3514851485148514,0.3514851485148514
2024_11_01,2045,1,1,2,1,1,1,1,1,1,1,2,0.2377450980392156,-0.2892226875499287,0.2696078431372549,0.2401960784313725,0.2696078431372549,0.2720588235294117,-0.24265293277494,0.8063725490196079,0.3897058823529412,0.3897058823529412
2024_11_01,2047,1,1,1,1,2,1,1,1,1,1,1,0.2782805429864253,0.2760180995475113,0.2918552036199095,-0.1742317207182335,0.3009049773755656,0.2963800904977375,-0.199121966535124,0.7669683257918553,0.420814479638009,0.420814479638009
2024_11_01,2048,1,1,1,1,1,1,1,1,1,1,2,0.3702830188679245,0.2452830188679245,0.2617924528301887,0.240566037735849,0.2641509433962264,0.2688679245283019,-0.2523343092893266,0.7641509433962265,0.3632075471698113,0.3632075471698113
2024_11_01,2049,1,2,1,1,1,1,1,1,1,1,1,0.2347188264058679,0.2469437652811736,0.2738386308068459,0.2444987775061124,0.2811735941320293,0.2689486552567237,-0.2713702254947078,0.8019559902200489,0.3765281173594132,0.3765281173594132
2024_11_01,2050,1,1,2,1,1,1,1,1,1,1,1,0.2870588235294117,-0.1835462653672646,0.2776470588235294,0.2564705882352941,0.2847058823529412,0.2752941176470588,-0.2117841523468439,0.7976470588235294,0.3929411764705882,0.3905882352941176
2024_11_01,2051,1,1,1,1,1,1,1,1,1,1,2,0.2617924528301887,0.2547169811320754,0.2712264150943396,0.2547169811320754,0.2759433962264151,0.2830188679245283,-0.2311307958477509,0.7877358490566038,0.4033018867924528,0.4033018867924528
2024_11_01,2052,1,1,1,1,1,1,1,1,1,1,2,0.3880952380952381,0.2404761904761904,0.2547619047619047,0.2404761904761904,0.2619047619047619,0.269047619047619,-0.2380899027472773,0.780952380952381,0.3761904761904762,0.3761904761904762
2024_11_01,2053,1,1,1,1,1,1,1,1,1,1,1,0.3780487804878049,0.2463414634146341,0.2585365853658536,0.248780487804878,0.2731707317073171,0.2780487804878049,-0.2585216081566447,0.7878048780487805,0.3804878048780488,0.3804878048780488
